timestamp_ms,is_error,is_auth_failure,path,query_length,query_entropy,request_content_length,response_length,request_preview
1773549270562,0,0,/health,0,0.0,0,182,GET /health
1773549273996,0,0,/health,0,0.0,0,182,GET /health
1773549274149,0,0,/command,0,0.0,78,270,"POST /command {""device_id"":""light_8"",""action"":""turn_on"",""request_id"":""benign-1773549274113""}"
1773549277563,0,0,/health,0,0.0,0,182,GET /health
1773549281319,0,0,/command,0,0.0,74,269,"POST /command {""device_id"":""lock_4"",""action"":""lock"",""request_id"":""benign-1773549281309""}"
1773549283082,0,0,/command,0,0.0,97,613,"POST /command {""device_id"":""thermostat_1"",""action"":""set_temp"",""value"":22.8,""request_id"":""benign-1773549283072""}"
1773549286231,0,0,/health,0,0.0,0,182,GET /health
1773549289509,0,0,/state,6,2.585,0,167,GET /state?device_id=lock_5
1773549292534,0,0,/event,0,0.0,63,11,"POST /event {""device_id"":""light_1"",""event"":""heartbeat"",""value"":{""ok"":true}}"
1773549295813,0,0,/command,0,0.0,78,271,"POST /command {""device_id"":""light_5"",""action"":""turn_on"",""request_id"":""benign-1773549295803""}"
1773549299785,0,0,/command,0,0.0,79,274,"POST /command {""device_id"":""light_3"",""action"":""turn_off"",""request_id"":""benign-1773549299775""}"
1773549301584,0,0,/events,0,0.0,0,2055,GET /events?limit=20
1773549305133,0,0,/health,0,0.0,0,182,GET /health
1773549305267,0,0,/state,12,3.1887,0,491,GET /state?device_id=thermostat_4
1773549306412,0,0,/command,0,0.0,78,271,"POST /command {""device_id"":""light_7"",""action"":""turn_on"",""request_id"":""benign-1773549306406""}"
1773549306708,0,0,/command,0,0.0,79,273,"POST /command {""device_id"":""light_10"",""action"":""turn_on"",""request_id"":""benign-1773549306702""}"
1773549307802,0,0,/events,0,0.0,0,1046,GET /events?limit=10
1773549308472,0,0,/events,0,0.0,0,1046,GET /events?limit=10
1773549309044,0,0,/health,0,0.0,0,182,GET /health
1773549309963,0,0,/health,0,0.0,0,182,GET /health
1773549310256,0,0,/health,0,0.0,0,182,GET /health
1773549311037,0,0,/command,0,0.0,76,274,"POST /command {""device_id"":""lock_5"",""action"":""unlock"",""request_id"":""benign-1773549311009""}"
1773549311663,0,0,/demo/search,11,2.6635,0,1166,GET /demo/search?q=door_opened
1773549312129,0,0,/command,0,0.0,78,271,"POST /command {""device_id"":""light_2"",""action"":""turn_on"",""request_id"":""benign-1773549312119""}"
1773549313228,0,0,/event,0,0.0,77,11,"POST /event {""device_id"":""lock_3"",""event"":""door_opened"",""value"":{""source"":""manual_test""}}"
1773549313669,0,0,/demo/search,12,3.1887,0,240,GET /demo/search?q=thermostat_4
1773549314125,0,0,/state,6,2.585,0,167,GET /state?device_id=lock_5
1773549314525,0,0,/command,0,0.0,97,613,"POST /command {""device_id"":""thermostat_2"",""action"":""set_temp"",""value"":22.3,""request_id"":""benign-1773549314514""}"
1773549315744,0,0,/state,12,3.1887,0,494,GET /state?device_id=thermostat_3
1773549316399,0,0,/command,0,0.0,79,274,"POST /command {""device_id"":""light_5"",""action"":""turn_off"",""request_id"":""benign-1773549316389""}"
1773549316751,0,0,/command,0,0.0,78,271,"POST /command {""device_id"":""light_4"",""action"":""turn_on"",""request_id"":""benign-1773549316745""}"
1773549317617,0,0,/event,0,0.0,62,11,"POST /event {""device_id"":""lock_4"",""event"":""heartbeat"",""value"":{""ok"":true}}"
1773549318219,0,0,/state,6,2.585,0,166,GET /state?device_id=lock_5
1773549318984,0,0,/demo/upload-preview,0,0.0,330,73,POST /demo/upload-preview [multipart]
1773549319558,0,0,/command,0,0.0,79,274,"POST /command {""device_id"":""light_6"",""action"":""turn_off"",""request_id"":""benign-1773549319551""}"
1773549319798,0,0,/health,0,0.0,0,182,GET /health
1773549320736,0,0,/demo/upload-preview,0,0.0,328,73,POST /demo/upload-preview [multipart]
1773549321266,0,0,/health,0,0.0,0,182,GET /health
1773549358608,0,0,/state,7,2.8074,0,163,GET /state?device_id=light_1
1773549361651,0,0,/state,7,2.8074,0,163,GET /state?device_id=light_4
1773549365514,0,0,/events,0,0.0,0,2069,GET /events?limit=20
1773549367813,0,0,/command,0,0.0,97,613,"POST /command {""device_id"":""thermostat_3"",""action"":""set_temp"",""value"":25.6,""request_id"":""benign-1773549367803""}"
1773549369843,0,0,/state,7,2.8074,0,164,GET /state?device_id=light_3
1773549373859,0,0,/state,7,2.8074,0,164,GET /state?device_id=light_5
1773549375736,0,0,/state,12,3.1887,0,495,GET /state?device_id=thermostat_2
1773549377721,0,0,/state,12,3.1887,0,490,GET /state?device_id=thermostat_4
1773549380340,0,0,/command,0,0.0,97,612,"POST /command {""device_id"":""thermostat_2"",""action"":""set_temp"",""value"":24.0,""request_id"":""benign-1773549380330""}"
1773549383858,0,0,/health,0,0.0,0,182,GET /health
1773549386387,0,0,/health,0,0.0,0,182,GET /health
1773549388853,0,0,/firmware,0,0.0,3069,179,POST /firmware [multipart]
1773549390701,0,0,/command,0,0.0,74,269,"POST /command {""device_id"":""lock_1"",""action"":""lock"",""request_id"":""benign-1773549390690""}"
1773549393897,0,0,/command,0,0.0,78,270,"POST /command {""device_id"":""light_8"",""action"":""turn_on"",""request_id"":""benign-1773549393884""}"
1773549395644,0,0,/health,0,0.0,0,182,GET /health
1773549397744,0,0,/demo/search,12,3.1887,0,240,GET /demo/search?q=thermostat_4
1773549399469,0,0,/command,0,0.0,74,268,"POST /command {""device_id"":""lock_6"",""action"":""lock"",""request_id"":""benign-1773549399456""}"
1773549402465,0,0,/health,0,0.0,0,182,GET /health
1773549406203,0,0,/state,7,2.8074,0,163,GET /state?device_id=light_8
1773549409734,0,0,/event,0,0.0,63,11,"POST /event {""device_id"":""light_7"",""event"":""heartbeat"",""value"":{""ok"":true}}"
1773549411497,0,0,/state,6,2.585,0,165,GET /state?device_id=lock_4
1773549414074,0,0,/events,0,0.0,0,1030,GET /events?limit=10
1773549417237,0,0,/health,0,0.0,0,182,GET /health
1773549418919,0,0,/health,0,0.0,0,182,GET /health
1773549422452,0,0,/command,0,0.0,78,271,"POST /command {""device_id"":""light_7"",""action"":""turn_on"",""request_id"":""benign-1773549422441""}"
