id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,127.0.0.1,00:00:00:00:00:00,00:00:00,37708,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,6,4,0,0,1773541398260,1773541398425,165,11,1239,1773541398260,1773541398425,165,6,644,1773541398260,1773541398424,164,5,595,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
1,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,40812,6,4,0,0,1773541396117,1773541398251,2134,4,264,1773541396117,1773541398251,2134,2,132,1773541396159,1773541398251,2092,2,132,Unknown,Unspecified,0,0,,,,,
2,0,::1,00:00:00:00:00:00,00:00:00,38172,::1,00:00:00:00:00:00,00:00:00,8002,6,6,0,0,1773541398257,1773541398257,0,2,168,1773541398257,1773541398257,0,1,94,1773541398257,1773541398257,0,1,74,Unknown,Unspecified,0,0,,,,,
3,0,127.0.0.1,00:00:00:00:00:00,00:00:00,33988,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,6,4,0,0,1773541400057,1773541400376,319,11,1595,1773541400057,1773541400376,319,6,667,1773541400057,1773541400376,319,5,928,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
4,0,::1,00:00:00:00:00:00,00:00:00,51318,::1,00:00:00:00:00:00,00:00:00,8003,6,6,0,0,1773541400054,1773541400055,1,2,168,1773541400054,1773541400054,0,1,94,1773541400055,1773541400055,0,1,74,Unknown,Unspecified,0,0,,,,,
5,1,127.0.0.1,00:00:00:00:00:00,00:00:00,46806,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773541394481,1773541403322,8841,25,4304,1773541394481,1773541403322,8841,14,1833,1773541394481,1773541403322,8841,11,2471,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
6,0,127.0.0.1,00:00:00:00:00:00,00:00:00,38390,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,6,4,0,0,1773541406618,1773541406635,17,9,950,1773541406618,1773541406635,17,5,502,1773541406618,1773541406634,16,4,448,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
7,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,127.0.0.1,00:00:00:00:00:00,00:00:00,33988,6,4,0,0,1773541405378,1773541406610,1232,4,264,1773541405378,1773541406610,1232,2,132,1773541405419,1773541406610,1191,2,132,Unknown,Unspecified,0,0,,,,,
8,1,127.0.0.1,00:00:00:00:00:00,00:00:00,46806,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773541406595,1773541412981,6386,21,2956,1773541406595,1773541412981,6386,11,1471,1773541406639,1773541412981,6342,10,1485,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
9,0,::1,00:00:00:00:00:00,00:00:00,49026,::1,00:00:00:00:00:00,00:00:00,8002,6,6,0,0,1773541406616,1773541406616,0,2,168,1773541406616,1773541406616,0,1,94,1773541406616,1773541406616,0,1,74,Unknown,Unspecified,0,0,,,,,
10,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,127.0.0.1,00:00:00:00:00:00,00:00:00,38390,6,4,0,0,1773541411637,1773541412940,1303,4,264,1773541411637,1773541412940,1303,2,132,1773541411679,1773541412939,1260,2,132,Unknown,Unspecified,0,0,,,,,
11,0,::1,00:00:00:00:00:00,00:00:00,57576,::1,00:00:00:00:00:00,00:00:00,8001,6,6,0,0,1773541412946,1773541412946,0,2,168,1773541412946,1773541412946,0,1,94,1773541412946,1773541412946,0,1,74,Unknown,Unspecified,0,0,,,,,
12,0,127.0.0.1,00:00:00:00:00:00,00:00:00,52406,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,6,4,0,0,1773541412948,1773541416924,3976,18,2207,1773541412948,1773541416924,3976,10,1157,1773541412948,1773541416924,3976,8,1050,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
13,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,127.0.0.1,00:00:00:00:00:00,00:00:00,37708,6,4,0,0,1773541403427,1773541406609,3182,4,264,1773541403427,1773541406609,3182,2,132,1773541403471,1773541406609,3138,2,132,Unknown,Unspecified,0,0,,,,,
14,0,127.0.0.1,00:00:00:00:00:00,00:00:00,46806,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773541416894,1773541422265,5371,20,4800,1773541416894,1773541422265,5371,12,1397,1773541416899,1773541422265,5366,8,3403,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
15,0,127.0.0.1,00:00:00:00:00:00,00:00:00,42080,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,6,4,0,0,1773541422398,1773541422410,12,9,1275,1773541422398,1773541422410,12,5,508,1773541422399,1773541422410,11,4,767,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
16,0,::1,00:00:00:00:00:00,00:00:00,33502,::1,00:00:00:00:00:00,00:00:00,8000,6,6,0,0,1773541422380,1773541422380,0,2,168,1773541422380,1773541422380,0,1,94,1773541422380,1773541422380,0,1,74,Unknown,Unspecified,0,0,,,,,
17,0,127.0.0.1,00:00:00:00:00:00,00:00:00,58362,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,6,4,0,0,1773541423529,1773541423830,301,18,2206,1773541423529,1773541423830,301,10,1157,1773541423529,1773541423830,301,8,1049,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
