id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
6349,1,127.0.0.1,00:00:00:00:00:00,00:00:00,53722,127.0.0.1,00:00:00:00:00:00,00:00:00,8000,6,4,0,0,1773560962501,1773560972315,9814,36,11252,1773560962501,1773560972314,9813,21,3056,1773560962503,1773560972315,9812,15,8196,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
6352,0,127.0.0.1,00:00:00:00:00:00,00:00:00,37936,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,6,4,0,0,1773560970042,1773560970357,315,11,1596,1773560970042,1773560970357,315,6,667,1773560970042,1773560970357,315,5,929,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
6353,0,127.0.0.1,00:00:00:00:00:00,00:00:00,58140,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,6,4,0,0,1773560972340,1773560972502,162,11,1239,1773560972340,1773560972502,162,6,644,1773560972340,1773560972502,162,5,595,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
6354,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,127.0.0.1,00:00:00:00:00:00,00:00:00,60762,6,4,0,0,1773560971753,1773560972331,578,4,264,1773560971753,1773560972331,578,2,132,1773560971795,1773560972331,536,2,132,Unknown,Unspecified,0,0,,,,,
6355,0,::1,00:00:00:00:00:00,00:00:00,44228,::1,00:00:00:00:00:00,00:00:00,8002,6,6,0,0,1773560972338,1773560972338,0,2,168,1773560972338,1773560972338,0,1,94,1773560972338,1773560972338,0,1,74,Unknown,Unspecified,0,0,,,,,
6356,0,::1,00:00:00:00:00:00,00:00:00,55474,::1,00:00:00:00:00:00,00:00:00,8003,6,6,0,0,1773560970040,1773560970040,0,2,168,1773560970040,1773560970040,0,1,94,1773560970040,1773560970040,0,1,74,Unknown,Unspecified,0,0,,,,,
6357,0,127.0.0.1,00:00:00:00:00:00,00:00:00,41272,127.0.0.1,00:00:00:00:00:00,00:00:00,8001,6,4,0,0,1773560977979,1773560977993,14,9,946,1773560977979,1773560977993,14,5,503,1773560977979,1773560977993,14,4,443,HTTP,Web,0,6,localhost,,,python-httpx/0.28.1,application/json
6359,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8003,127.0.0.1,00:00:00:00:00:00,00:00:00,37936,6,4,0,0,1773560975359,1773560977970,2611,4,264,1773560975359,1773560977970,2611,2,132,1773560975403,1773560977970,2567,2,132,Unknown,Unspecified,0,0,,,,,
6360,0,127.0.0.1,00:00:00:00:00:00,00:00:00,8002,127.0.0.1,00:00:00:00:00:00,00:00:00,58140,6,4,0,0,1773560977504,1773560977971,467,4,264,1773560977504,1773560977971,467,2,132,1773560977547,1773560977971,424,2,132,Unknown,Unspecified,0,0,,,,,
6361,0,::1,00:00:00:00:00:00,00:00:00,49722,::1,00:00:00:00:00:00,00:00:00,8001,6,6,0,0,1773560977977,1773560977977,0,2,168,1773560977977,1773560977977,0,1,94,1773560977977,1773560977977,0,1,74,Unknown,Unspecified,0,0,,,,,
